board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
kilter,40,Trans-Dimensional Council of Ricks,2023-01-29 02:35:23,6c/V5,6c/V5,False,1,False,3,3,True,True,
kilter,40,it’s a beautiful morning,2023-02-05 01:56:44,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,40,HilDawgyDawg,2023-02-05 02:00:21,6a+/V3,6a+/V3,False,1,False,2,2,True,True,
kilter,40,Drawing the Priest,2023-02-05 02:55:58,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,"Simple, but crimpy",2023-02-05 03:00:45,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,40,Monkey Bread,2023-02-06 23:30:42,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,B45-8-3-1,2023-02-06 23:55:14,4c/V0,4c/V0,False,1,False,1,1,False,True,
kilter,40,Eug’s Jugs,2023-02-08 23:19:17,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,40,Chanel,2023-02-08 23:21:43,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,40,Bad Girls Club Top,2023-02-08 23:37:44,7a/V6,7a/V6,False,1,False,2,2,True,True,
kilter,40,SNZN Ramen,2023-02-08 23:48:40,7b/V8,7b/V8,False,1,False,2,2,True,True,
kilter,40,Press Du Sau!,2023-02-08 23:50:27,7b/V8,7b/V8,False,1,False,1,1,False,True,
kilter,40,Biscuit Boy,2023-02-12 01:26:27,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Too Much On My Mind,2023-02-12 01:29:09,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,Kiel training 1:4,2023-02-12 02:35:54,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,Trunk of the Beast,2023-02-26 02:11:41,7b/V8,7b/V8,False,1,False,4,6,True,True,
kilter,40,Too Small for Kevin,2023-02-26 02:26:23,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,Pinch-E,2023-02-26 02:31:30,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,Game of Thrones Season 8,2023-02-26 02:38:36,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,Intruder Alert,2023-02-26 02:45:54,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,proj braj,2023-02-26 02:55:00,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,The Little Squeeze,2023-03-01 23:20:35,6c+/V5,6c+/V5,False,1,False,1,1,False,True,
kilter,40,Triptoc,2023-03-01 23:25:58,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,A-Thee A-Thee A-Thee That's All Folks,2023-03-12 01:34:40,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,40,hello is it me your looking for?,2023-03-12 01:36:37,6c/V5,6c/V5,False,1,False,2,2,True,True,
kilter,40,P'tite V4,2023-03-19 02:55:40,6a/V3,6a/V3,False,1,False,10,14,True,True,
kilter,40,We Will Rock You,2023-04-26 00:14:42,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Tension Tension,2023-04-26 00:17:08,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Easy Living,2023-04-26 00:22:18,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Mike's Hard Lemonade,2023-04-26 00:27:48,6b+/V4,6b+/V4,False,1,False,1,1,False,True,
kilter,30,P'tite V4,2023-04-30 02:42:14,6a/V3,6a/V3,False,1,False,11,15,True,True,
kilter,30,DozMov C,2023-04-30 02:43:24,6a+/V3,6a+/V3,False,1,False,4,4,True,True,
kilter,30,swooped,2023-04-30 02:44:39,6b/V4,6b/V4,False,1,False,7,9,True,True,
kilter,30,ford focus,2023-04-30 03:03:04,6b/V4,6b/V4,False,1,False,7,9,True,True,
kilter,30,Cheers!!,2023-05-02 00:12:32,5c/V2,5c/V2,False,1,False,4,5,True,True,
kilter,30,Jug Skin,2023-05-02 00:14:51,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,30,Steep Thrills,2023-05-02 00:17:59,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Rainbow Swing,2023-05-07 02:16:58,6a+/V3,6a+/V3,False,1,False,4,4,True,True,
kilter,40,Scared em Off,2023-05-07 02:18:29,6b+/V4,6b+/V4,False,1,False,3,3,True,True,
kilter,30,pendel,2023-05-14 03:25:25,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,20,Cupcake,2023-05-16 00:14:11,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,HilDawgyDawg,2023-05-16 00:15:21,5b/V1,5b/V1,False,1,False,3,3,True,True,
kilter,20,Biscuit Boy,2023-05-16 00:16:10,5a/V1,5a/V1,False,1,False,3,3,True,True,
kilter,20,Tricks are for Kids,2023-05-16 00:17:07,5c/V2,5c/V2,False,1,False,3,3,True,True,
kilter,20,Morty Jr.,2023-05-16 00:18:07,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,20,SAD,2023-05-16 00:19:05,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,J-19 Zeta 7 Rick,2023-05-16 00:20:06,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,20,it’s a beautiful morning,2023-05-16 00:21:06,5a/V1,5a/V1,False,1,False,3,3,True,True,
kilter,20,Elephant Trunk,2023-05-16 00:22:07,5a/V1,5a/V1,False,1,False,4,4,True,True,
kilter,20,kevin noooo,2023-05-16 00:22:59,5c/V2,5c/V2,False,1,False,3,3,True,True,
kilter,20,Space Cadet,2023-05-16 00:25:04,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,20,cchhhhooooccccoooolllaaatteee!!!,2023-05-16 00:26:08,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,20,We Will Rock You,2023-05-16 00:27:11,5b/V1,5b/V1,False,1,False,2,2,True,True,
kilter,30,Pizza man,2023-05-20 01:46:56,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,30,chalk the chalk,2023-05-20 01:48:28,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,30,Little Avoidance Therapy,2023-05-20 01:50:00,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,30,Sure 2,2023-05-20 01:51:50,5a/V1,5a/V1,False,1,False,2,2,True,True,
kilter,30,proj braj,2023-05-20 01:59:15,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,25,Lash 1 - Raiders of the Las Vegas,2023-05-24 00:14:22,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,25,"Hi hungry, I’m dad.",2023-05-24 00:15:40,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,25,Kilter Board Koncussion,2023-05-24 00:17:51,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,35,Floats Your Boat,2023-06-04 03:00:05,4b/V0,4b/V0,False,1,False,3,3,True,True,
kilter,35,Skyy Vodka,2023-06-04 03:01:01,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,35,There will be blood ?,2023-06-04 03:02:06,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,35,Tap Tap Tap,2023-06-04 03:03:05,5b/V1,5b/V1,False,1,False,3,3,True,True,
kilter,35,Mr. Goobler,2023-06-04 03:04:54,5b/V1,5b/V1,False,1,False,1,1,False,True,
kilter,30,Easy Living,2023-07-23 03:07:25,5b/V1,5b/V1,False,1,False,3,3,True,True,
kilter,30,Screwdriver,2023-07-23 03:08:22,4c/V0,4c/V0,False,1,False,1,1,False,True,
kilter,30,Mr. Goobler,2023-07-23 03:10:16,4c/V0,4c/V0,False,1,False,2,2,True,True,
kilter,40,pitseleh,2023-07-30 02:51:06,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,40,Pez,2023-07-30 02:53:43,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,35,Pinball,2023-08-02 00:40:46,5c/V2,5c/V2,False,1,False,2,2,True,True,
kilter,35,Jugglin Holds,2023-08-02 00:43:01,5c/V2,5c/V2,False,1,False,2,2,True,True,
kilter,35,Sure 2,2023-08-02 00:45:07,5b/V1,5b/V1,False,1,False,3,3,True,True,
kilter,35,Jug Haul,2023-08-02 00:45:59,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,35,Remi's problem :3,2023-08-02 00:47:02,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,35,pretty legit 4a,2023-08-02 00:48:00,4a/V0,4a/V0,False,1,False,1,1,False,True,
kilter,35,Mere mortals,2023-08-02 00:49:50,4b/V0,4b/V0,False,1,False,1,1,False,True,
kilter,35,Summit Team Julia,2023-08-02 00:51:03,4b/V0,4b/V0,False,1,False,1,1,False,True,
kilter,35,A real V0,2023-08-02 00:52:02,4c/V0,4c/V0,False,1,False,1,1,False,True,
kilter,35,nathos v0 no15,2023-08-02 00:52:59,4a/V0,4a/V0,False,1,False,1,1,False,True,
kilter,35,juggies,2023-08-02 00:53:57,4a/V0,4a/V0,False,1,False,1,1,False,True,
kilter,35,Screwdriver,2023-08-02 00:54:59,4c/V0,4c/V0,False,1,False,2,2,True,True,
kilter,30,Biscuit Boy,2023-08-08 00:06:15,5c/V2,5c/V2,False,1,False,4,4,True,True,
kilter,30,Sweet potato,2023-08-08 00:09:05,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,30,Children Under the Stairs,2023-08-08 00:12:02,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,30,Triple Threat,2023-08-08 00:19:59,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,30,Triple Threat,2023-08-08 00:20:04,6b/V4,6b/V4,False,1,False,1,2,True,True,Works for triple boulders @30
kilter,30,Trans-Dimensional Council of Ricks,2023-08-08 00:31:49,6c/V5,6c/V5,False,1,False,4,4,True,True,
kilter,30,P'tite V4,2023-08-08 00:41:17,6a/V3,6a/V3,False,1,False,12,16,True,True,
kilter,40,P'tite V4,2023-08-08 00:41:45,6a/V3,6a/V3,False,1,False,12,17,True,True,
kilter,40,ford focus,2023-08-08 00:47:10,6c/V5,6c/V5,False,1,False,8,10,True,True,
kilter,40,ford focus,2023-08-08 00:48:50,,,False,1,False,8,11,True,False,
kilter,40,ford focus,2023-08-08 00:50:35,6c/V5,6c/V5,False,1,False,8,12,True,True,
kilter,40,????NEVER LET GO ROSE!????,2023-08-08 00:58:16,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,35,P'tite V4,2023-08-15 00:14:49,6a/V3,6a/V3,False,1,False,13,18,True,True,
kilter,35,Donuts For Life,2023-08-15 00:17:42,6b+/V4,6b+/V4,False,1,False,1,1,False,True,
kilter,35,Trans-Dimensional Council of Ricks,2023-08-15 00:27:47,6c/V5,6c/V5,False,1,False,5,5,True,True,
kilter,35,swooped,2023-08-15 00:37:08,6b/V4,6b/V4,False,1,False,8,10,True,True,
kilter,35,benchmark,2023-08-15 00:55:24,6c/V5,6c/V5,False,1,False,6,8,True,True,
kilter,35,swooped,2023-08-15 00:57:19,6b/V4,6b/V4,False,1,False,8,11,True,True,
kilter,35,Bones & Chilly,2023-08-15 01:06:15,6b+/V4,6b+/V4,False,1,False,5,6,True,True,
kilter,30,Scared em Off,2023-10-12 00:25:38,6a/V3,6a/V3,False,1,False,4,4,True,True,
kilter,40,There will be blood ?,2023-11-10 02:01:05,5b/V1,5b/V1,False,1,False,2,2,True,True,
kilter,40,BK Warm Up V1 - V2,2023-11-10 02:03:42,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,40,Priest Drawn,2023-11-10 02:07:06,6c+/V5,6c+/V5,False,1,False,1,1,False,True,
kilter,25,Scared em Off,2023-12-17 01:09:30,5b/V1,5b/V1,False,1,False,5,5,True,True,
kilter,20,P'tite V4,2024-02-06 23:18:19,5c/V2,5c/V2,False,1,False,14,19,True,True,
kilter,30,warm meh 2,2024-02-11 23:19:31,5b/V1,5b/V1,False,1,False,5,5,True,True,
kilter,30,You Don’t Know Me,2024-02-22 23:04:57,5c/V2,5c/V2,False,1,False,3,3,True,True,
kilter,30,May the Foot Be With You,2024-02-22 23:06:40,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,30,We Will Rock You,2024-02-22 23:08:09,5b/V1,5b/V1,False,1,False,3,3,True,True,
kilter,30,lil whiskers,2024-02-22 23:18:14,6c/V5,6c/V5,False,1,False,3,3,True,True,
kilter,40,lil whiskers,2024-02-25 01:37:17,6c+/V5,6c+/V5,False,1,False,4,4,True,True,
kilter,20,DozMov C,2024-03-27 23:58:57,5c/V2,5c/V2,False,1,False,5,5,True,True,
kilter,20,swooped,2024-03-28 00:01:13,5b/V1,5b/V1,False,1,False,9,12,True,True,
kilter,20,DozMov C,2024-03-28 00:10:05,5c/V2,5c/V2,False,1,False,6,6,True,True,
kilter,20,Triple Threat,2024-07-23 00:12:27,6a+/V3,6a+/V3,False,1,False,2,3,True,True,
kilter,20,Zoulou ?,2024-07-23 00:13:55,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,20,Heartbreaker,2024-07-23 00:16:07,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,pendel,2024-07-23 01:02:21,7b/V8,7b/V8,False,1,False,2,2,True,True,
kilter,40,Sure 2,2024-08-04 02:32:18,6a/V3,6a/V3,False,1,False,4,4,True,True,
kilter,40,DozMov C,2024-08-04 02:34:55,6a+/V3,6a+/V3,False,1,False,7,7,True,True,
kilter,40,BGud - Flame Me,2024-08-04 02:42:30,6c+/V5,6c+/V5,False,1,False,2,4,True,True,
kilter,40,That One's Good,2024-08-04 02:50:33,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,40,That One's Good,2024-08-04 02:50:39,6c+/V5,6c+/V5,False,1,False,1,2,True,True,
kilter,40,Young Whippersnapper,2024-08-04 02:52:24,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,Rastaman,2024-08-04 02:58:25,,,False,1,False,1,1,False,False,Felt last move
kilter,40,Rastaman,2024-08-04 03:04:44,7b/V8,7b/V8,False,1,False,1,2,False,True,
kilter,40,hip dysplasia,2024-08-04 03:23:17,,,False,1,False,1,1,False,False,
kilter,40,DozMov C,2024-08-06 00:41:00,6a+/V3,6a+/V3,False,1,False,8,8,True,True,
kilter,40,Tension Pneumothorax,2024-08-08 01:02:42,6c/V5,6c/V5,False,1,False,3,4,True,True,
kilter,40,Mike's Harder Lemonade,2024-08-08 01:10:39,6c/V5,6c/V5,False,1,False,4,4,True,True,
kilter,40,Magmidt guide rute,2024-08-10 01:58:44,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,40,Black Rock Desert,2024-09-08 03:49:17,,,False,1,False,1,1,False,False,Flash
kilter,40,Black Rock Desert,2024-09-08 03:49:31,7b/V8,7b/V8,False,1,False,1,2,False,True,
kilter,40,Black Rock Desert,2024-09-08 03:49:34,7a+/V7,7a+/V7,False,1,False,1,3,True,True,
kilter,40,cross like Kate Moss,2024-09-08 03:58:14,6c/V5,6c/V5,False,1,False,1,1,False,True,Great to practice dyno cross (no match)
kilter,40,Astroman,2024-10-19 03:45:34,7a+/V7,7a+/V7,False,1,False,1,1,False,True,After couple of years lol
kilter,40,Cross Body,2024-10-19 04:10:27,7a/V6,7a/V6,False,1,False,1,1,False,True,One session at 40
kilter,40,Sure 2,2025-02-23 01:51:15,6a/V3,6a/V3,False,1,False,5,5,True,True,
kilter,40,big sock,2025-02-23 01:54:31,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,hip dysplasia,2025-03-02 02:11:59,7c/V9,7c/V9,False,1,False,2,2,False,True,Sending this after long season on it.
kilter,40,Peekaboo Tractor,2025-03-02 03:30:08,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,30,ZILLA 2.0,2025-03-15 03:36:37,7b/V8,7b/V8,False,1,False,1,1,False,True,
kilter,40,Sequences,2025-04-26 04:10:46,,,False,4,False,1,4,False,False,
kilter,40,SAD,2025-06-15 02:05:37,6b/V4,6b/V4,False,1,False,2,2,True,True,
kilter,40,Saggy Bottom Boys,2025-06-15 02:07:01,6b/V4,6b/V4,False,1,False,1,1,False,True,
kilter,20,Mike's Hard Lemonade,2025-11-19 23:05:53,5c/V2,5c/V2,False,1,False,2,2,True,True,
kilter,20,Kiel training 1:4,2025-11-19 23:07:31,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,20,Too Small for Kevin,2025-11-19 23:09:53,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,30,Too Small for Kevin,2025-11-19 23:16:38,6b+/V4,6b+/V4,False,1,False,2,3,True,True,
kilter,30,dream racer low trainer,2025-11-19 23:21:28,6c/V5,6c/V5,False,1,False,1,1,False,True,
kilter,30,Astroman,2025-11-19 23:27:30,7a/V6,7a/V6,False,1,False,2,2,True,True,
kilter,30,Trappin,2025-11-19 23:35:43,,,False,2,False,1,2,False,False,
kilter,30,Trappin,2025-11-19 23:35:54,7a+/V7,7a+/V7,False,1,False,1,3,False,True,
kilter,40,joes saftpresse,2025-11-30 01:38:45,7b/V8,7b/V8,False,1,False,1,1,False,True,
kilter,40,joes saftpresse,2025-11-30 01:39:09,7b/V8,7b/V8,False,1,False,1,2,True,True,
kilter,40,Nyokodo,2025-11-30 01:43:18,7b/V8,7b/V8,False,1,False,1,1,False,True,
kilter,40,maschendraht,2025-11-30 01:59:22,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,35,Footloose,2026-02-22 02:40:18,,,False,1,False,1,1,False,False,
kilter,35,Footloose,2026-02-22 02:40:20,,,False,1,False,1,2,False,False,
kilter,35,Footloose,2026-02-22 03:13:24,,,False,1,False,1,3,False,False,
kilter,35,Footloose,2026-02-22 03:13:27,,,False,1,False,1,4,False,False,
kilter,35,Footloose,2026-02-22 03:13:29,,,False,1,False,1,5,False,False,
